ts_iso,endpoint,http_code,lat_ms,ok
2026-01-21T07:27:16+00:00,/ping,200,6,1
2026-01-21T07:27:16+00:00,/secure-data,200,11,1
2026-01-21T07:27:17+00:00,/ping,200,6,1
2026-01-21T07:27:17+00:00,/secure-data,200,11,1
2026-01-21T07:27:20+00:00,/ping,200,7,1
2026-01-21T07:27:20+00:00,/secure-data,200,11,1
2026-01-21T07:27:21+00:00,/ping,200,7,1
2026-01-21T07:27:21+00:00,/secure-data,200,12,1
2026-01-21T07:27:22+00:00,/ping,200,6,1
2026-01-21T07:27:22+00:00,/secure-data,200,11,1
2026-01-21T07:27:23+00:00,/ping,200,6,1
2026-01-21T07:27:23+00:00,/secure-data,200,11,1
2026-01-21T07:27:24+00:00,/ping,200,7,1
2026-01-21T07:27:24+00:00,/secure-data,200,11,1
2026-01-21T07:27:25+00:00,/ping,200,6,1
2026-01-21T07:27:25+00:00,/secure-data,200,11,1
2026-01-21T07:27:26+00:00,/ping,200,7,1
2026-01-21T07:27:26+00:00,/secure-data,200,11,1
2026-01-21T07:27:27+00:00,/ping,200,7,1
2026-01-21T07:27:27+00:00,/secure-data,200,11,1
2026-01-21T07:27:28+00:00,/ping,200,6,1
2026-01-21T07:27:28+00:00,/secure-data,200,10,1
2026-01-21T07:27:29+00:00,/ping,200,6,1
2026-01-21T07:27:29+00:00,/secure-data,200,12,1
2026-01-21T07:27:30+00:00,/ping,200,6,1
2026-01-21T07:27:30+00:00,/secure-data,200,11,1
2026-01-21T07:27:31+00:00,/ping,200,8,1
2026-01-21T07:27:31+00:00,/secure-data,200,15,1
2026-01-21T07:27:32+00:00,/ping,200,11,1
2026-01-21T07:27:32+00:00,/secure-data,200,21,1
2026-01-21T07:27:33+00:00,/ping,200,10,1
2026-01-21T07:27:33+00:00,/secure-data,200,19,1
2026-01-21T07:27:35+00:00,/ping,200,11,1
2026-01-21T07:27:35+00:00,/secure-data,200,22,1
2026-01-21T07:27:36+00:00,/ping,200,10,1
2026-01-21T07:27:36+00:00,/secure-data,200,22,1
2026-01-21T07:27:37+00:00,/ping,200,12,1
2026-01-21T07:27:37+00:00,/secure-data,200,21,1
2026-01-21T07:27:38+00:00,/ping,200,10,1
2026-01-21T07:27:38+00:00,/secure-data,200,20,1
2026-01-21T07:27:39+00:00,/ping,200,11,1
2026-01-21T07:27:39+00:00,/secure-data,200,21,1
2026-01-21T07:27:40+00:00,/ping,200,10,1
2026-01-21T07:27:40+00:00,/secure-data,200,20,1
2026-01-21T07:27:41+00:00,/ping,200,10,1
2026-01-21T07:27:41+00:00,/secure-data,200,19,1
2026-01-21T07:27:42+00:00,/ping,200,9,1
2026-01-21T07:27:42+00:00,/secure-data,200,18,1
2026-01-21T07:27:43+00:00,/ping,200,11,1
2026-01-21T07:27:43+00:00,/secure-data,200,22,1
2026-01-21T07:27:44+00:00,/ping,200,11,1
2026-01-21T07:27:44+00:00,/secure-data,200,23,1
2026-01-21T07:27:45+00:00,/ping,200,9,1
2026-01-21T07:27:45+00:00,/secure-data,200,19,1
2026-01-21T07:27:46+00:00,/ping,200,10,1
2026-01-21T07:27:46+00:00,/secure-data,200,21,1
2026-01-21T07:27:47+00:00,/ping,200,10,1
2026-01-21T07:27:47+00:00,/secure-data,200,18,1
2026-01-21T07:27:48+00:00,/ping,200,11,1
2026-01-21T07:27:48+00:00,/secure-data,200,27,1
2026-01-21T07:27:49+00:00,/ping,200,10,1
2026-01-21T07:27:49+00:00,/secure-data,200,19,1
2026-01-21T07:27:52+00:00,/ping,200,11,1
2026-01-21T07:27:52+00:00,/secure-data,200,21,1
2026-01-21T07:27:53+00:00,/ping,200,10,1
2026-01-21T07:27:53+00:00,/secure-data,200,19,1
2026-01-21T07:27:54+00:00,/ping,200,10,1
2026-01-21T07:27:54+00:00,/secure-data,200,22,1
2026-01-21T07:27:55+00:00,/ping,200,10,1
2026-01-21T07:27:55+00:00,/secure-data,200,19,1
2026-01-21T07:27:56+00:00,/ping,200,10,1
2026-01-21T07:27:56+00:00,/secure-data,200,19,1
2026-01-21T07:27:57+00:00,/ping,200,10,1
2026-01-21T07:27:57+00:00,/secure-data,200,19,1
2026-01-21T07:27:58+00:00,/ping,200,10,1
2026-01-21T07:27:58+00:00,/secure-data,200,21,1
2026-01-21T07:27:59+00:00,/ping,200,14,1
2026-01-21T07:27:59+00:00,/secure-data,200,21,1
2026-01-21T07:28:00+00:00,/ping,200,11,1
2026-01-21T07:28:00+00:00,/secure-data,200,19,1
2026-01-21T07:28:02+00:00,/ping,200,11,1
2026-01-21T07:28:02+00:00,/secure-data,200,19,1
2026-01-21T07:28:03+00:00,/ping,200,9,1
2026-01-21T07:28:03+00:00,/secure-data,200,18,1
2026-01-21T07:28:04+00:00,/ping,200,11,1
2026-01-21T07:28:04+00:00,/secure-data,200,22,1
2026-01-21T07:28:05+00:00,/ping,200,12,1
2026-01-21T07:28:05+00:00,/secure-data,200,22,1
