ts_iso,endpoint,http_code,lat_ms,ok
2026-01-21T07:33:06+00:00,/ping,200,12,1
2026-01-21T07:33:06+00:00,/secure-data,200,20,1
2026-01-21T07:33:07+00:00,/ping,200,11,1
2026-01-21T07:33:07+00:00,/secure-data,200,20,1
2026-01-21T07:33:08+00:00,/ping,200,11,1
2026-01-21T07:33:08+00:00,/secure-data,200,20,1
2026-01-21T07:33:09+00:00,/ping,200,11,1
2026-01-21T07:33:09+00:00,/secure-data,200,23,1
2026-01-21T07:33:10+00:00,/ping,200,12,1
2026-01-21T07:33:10+00:00,/secure-data,200,21,1
2026-01-21T07:33:11+00:00,/ping,200,10,1
2026-01-21T07:33:11+00:00,/secure-data,200,19,1
2026-01-21T07:33:12+00:00,/ping,200,9,1
2026-01-21T07:33:12+00:00,/secure-data,200,20,1
2026-01-21T07:33:13+00:00,/ping,200,10,1
2026-01-21T07:33:13+00:00,/secure-data,200,20,1
2026-01-21T07:33:14+00:00,/ping,200,12,1
2026-01-21T07:33:14+00:00,/secure-data,200,22,1
2026-01-21T07:33:15+00:00,/ping,200,12,1
2026-01-21T07:33:15+00:00,/secure-data,200,22,1
2026-01-21T07:33:16+00:00,/ping,200,11,1
2026-01-21T07:33:16+00:00,/secure-data,200,20,1
2026-01-21T07:33:17+00:00,/ping,200,14,1
2026-01-21T07:33:18+00:00,/secure-data,200,22,1
2026-01-21T07:33:19+00:00,/ping,200,12,1
2026-01-21T07:33:19+00:00,/secure-data,200,20,1
2026-01-21T07:33:20+00:00,/ping,200,11,1
2026-01-21T07:33:20+00:00,/secure-data,200,37,1
2026-01-21T07:33:21+00:00,/ping,200,12,1
2026-01-21T07:33:21+00:00,/secure-data,200,21,1
2026-01-21T07:33:22+00:00,/ping,200,12,1
2026-01-21T07:33:22+00:00,/secure-data,200,40,1
2026-01-21T07:33:23+00:00,/ping,200,12,1
2026-01-21T07:33:23+00:00,/secure-data,200,21,1
2026-01-21T07:33:24+00:00,/ping,200,10,1
2026-01-21T07:33:24+00:00,/secure-data,200,22,1
2026-01-21T07:33:25+00:00,/ping,200,11,1
2026-01-21T07:33:25+00:00,/secure-data,200,21,1
2026-01-21T07:33:26+00:00,/ping,200,12,1
2026-01-21T07:33:26+00:00,/secure-data,200,20,1
2026-01-21T07:33:27+00:00,/ping,200,28,1
2026-01-21T07:33:27+00:00,/secure-data,200,23,1
2026-01-21T07:33:28+00:00,/ping,200,11,1
2026-01-21T07:33:28+00:00,/secure-data,200,21,1
2026-01-21T07:33:29+00:00,/ping,200,13,1
2026-01-21T07:33:29+00:00,/secure-data,200,27,1
2026-01-21T07:33:30+00:00,/ping,200,12,1
2026-01-21T07:33:30+00:00,/secure-data,200,26,1
2026-01-21T07:33:31+00:00,/ping,200,11,1
2026-01-21T07:33:31+00:00,/secure-data,200,21,1
2026-01-21T07:33:33+00:00,/ping,200,13,1
